Province;GDP;Population;Export;Agricultural;Overnightstays;Net Migration;Cars;Educated;Unemployement
Istanbul;970188957;15067724;84913687;69606;20983823;-210321;192;2176161;12.May
Tekirdag;46964486;1029927;1288671;385637;333924;12885;139;112810;7.May
Edirne;12755222;411528;52244;309743;306162;1630;167;49518;7.May
Kirklareli;13666040;360860;179701;234251;69214;2191;167;44813;7.May
Balikesir;38568113;1226575;608271;298558;1206584;15210;169;155825;5.Tem
Canakkale;20107429;540662;152723;234497;850521;8405;170;74074;5.Tem
Izmir;191467959;4320519;10164080;176213;5257991;12979;177;662614;13.Aðu
Aydin;30164852;1097746;729737;141140;4748056;10543;165;133656;6.Eyl
Denizli;36181089;1027782;3113844;268212;1018769;-859;190;120809;6.Eyl
Mugla;34886252;967487;507858;109351;9778180;18340;213;140865;6.Eyl
Manisa;49689856;1429643;2291350;279250;422972;2133;151;144733;6.Aðu
Afyonkarahisar;18396477;725568;341582;448114;1339118;1927;122;63534;6.Aðu
Kutahya;16312701;577941;218398;306149;154844;2190;185;60510;6.Aðu
Usak;11393572;367514;245138;207691;109939;680;183;37509;6.Aðu
Bursa;127583972;2994521;11153402;211356;1786284;854;166;364581;9
Eskisehir;34654513;871187;1056627;544182;658952;3049;191;130342;9
Bilecik;9510480;223448;101378;68462;72197;-641;150;26092;9
Kocaeli;120073662;1906391;8960586;66149;806251;487;122;244726;10.Þub
Sakarya;35718138;1010700;5639480;78930;380644;4955;145;105289;10.Þub
Duzce;12662300;387844;108296;11107;146071;4655;146;41198;10.Þub
Bolu;12122650;311810;143151;110238;490147;3480;180;37482;10.Þub
Yalova;10379164;262234;312157;5893;208770;3327;138;33902;10.Þub
Ankara;280580928;5503985;7606584;1160802;4138965;-37365;262;974756;10.Oca
Konya;66122142;2205609;1785568;1833311;862928;-2271;160;222886;5.Eyl
Karaman;8699535;251913;303433;296751;86595;2329;145;25818;5.Eyl
Antalya;90123458;2426356;1368766;282967;73689106;15571;206;321905;11.Haz
Isparta;12830111;441412;197234;161001;228950;9205;184;56397;11.Haz
Burdur;8338245;269926;201995;139152;57273;2880;203;32608;11.Haz
Adana;62341484;2220125;1999154;411390;1191228;-18978;149;245469;11.Þub
Mersin;55569151;1814468;1726540;200233;1128151;-6138;151;210803;11.Þub
Hatay;40454193;1609856;2846890;138100;613176;-6156;130;149513;14.Oca
Kahramanmaras;25726998;1144851;998398;300012;379999;-42;114;95936;14.Oca
Osmaniye;12472906;534415;271671;103220;47318;-935;148;57071;14.Oca
Kirikkale;8873912;286602;10786;298442;37347;5499;149;32105;10.Eyl
Aksaray;10636326;412172;113736;386128;182570;2239;156;32699;10.Eyl
Nigde;8804380;364707;58386;239678;65273;6978;127;32127;10.Eyl
Nevsehir;7561833;298339;53053;303298;1763782;805;175;29290;10.Eyl
Kirsehir;6381291;241868;225832;346369;112405;3691;159;28090;10.Eyl
Kayseri;45176638;1389680;2087987;556680;453644;-9357;169;157559;13.Þub
Sivas;16687585;646608;96106;777141;133315;19590;129;66995;13.Þub
Yozgat;9608761;424981;7677;605283;172919;3191;116;34968;13.Þub
Zonguldak;16519867;599698;503038;25562;152529;258;159;61472;8
Karabuk;7462251;248014;365935;33385;212280;951;167;30990;8
Bartin;4667830;198999;33585;31441;82549;4586;147;18292;8
Kastamonu;10561050;383373;125042;127483;107188;8778;164;37549;5.Oca
Cankiri;5017882;216362;183841;201896;69896;28027;102;20594;5.Oca
Sinop;4878365;219733;28624;73743;76419;11129;143;22434;5.Oca
Samsun;35575071;1335716;634246;257211;491819;4685;128;153056;6.Nis
Tokat;12150560;612646;19175;287564;104978;5065;131;60523;6.Nis
Corum;13149077;536483;741965;512570;90482;4151;153;49576;6.Nis
Amasya;9124840;337508;110037;221160;185986;1523;172;40111;6.Nis
Trabzon;24103158;807903;955699;14357;779388;13249;130;104561;6.Þub
Ordu;16323302;771932;204031;25053;343088;24661;94;75310;6.Þub
Giresun;9805481;453912;151254;37053;184406;14405;92;49842;6.Þub
Rize;10642817;348608;150676;542;106265;14853;97;41364;6.Þub
Artvin;5428573;174010;52470;10615;123127;7058;91;21978;6.Þub
Gumushane;3580023;162748;34226;80912;38632;7569;65;18893;6.Þub
Erzurum;17601924;767848;14978;338693;312323;-2930;77;73482;7.May
Erzincan;7318411;236034;11311;119691;131814;2216;120;29675;7.May
Bayburt;1812028;82274;1227;97054;19936;1678;81;7914;7.May
Agri;6864248;539657;27548;353563;82186;-9391;18;29596;5.Mar
Kars;5854108;288878;208;208357;247298;-2179;41;22724;5.Mar
Igdir;4311204;197456;86518;97014;26706;-897;33;16074;5.Mar
Ardahan;2275965;98907;1315;38890;69525;966;39;8450;5.Mar
Malatya;17675478;797036;224214;187356;296947;1667;115;95634;8
Elazig;14151577;595638;220615;158752;266460;5794;118;67432;8
Bingol;5213336;281205;971;26968;41250;3554;27;25423;8
Tunceli;2787034;88198;646;48632;37960;5327;39;13936;8
Van;15538170;1123784;37486;284209;267310;-10263;25;71546;21.May
Mus;6541556;407992;6146;240838;62733;-5047;22;24178;21.May
Bitlis;5303289;349396;6369;117704;65069;204;23;27416;21.May
Hakkari;4839212;286470;58434;36359;54634;2600;8;27236;21.May
Gaziantep;55583482;2028563;6872020;135313;985500;-17502;113;153954;12.Aðu
Adiyaman;11462927;624513;80398;182349;134069;-863;78;57219;12.Aðu
Kilis;2947172;142541;81179;48105;14781;1932;76;12636;12.Aðu
